"","lngitude","latitude","pollinator"
"1209",-115.7338026,35.66720052,"antithetica"
"1362",-115.7062143,35.89758815,"antithetica"
"1364",-115.724642,35.96749931,"antithetica"
"1959",-115.7399342,36.04706252,"antithetica"
"2510",-115.7162822,36.08753488,"antithetica"
"2503",-115.7286942,36.11282804,"antithetica"
"2517",-115.74402,36.19238252,"antithetica"
"2518",-115.7408441,36.20204001,"antithetica"
"2537",-115.7194584,36.42459309,"antithetica"
"2539",-115.7209084,36.4517201,"antithetica"
"1167",-115.6938607,35.27142352,"antithetica"
"1168",-115.6992196,35.30480527,"antithetica"
"1207",-115.6594646,35.35712441,"antithetica"
"1199",-115.6926091,35.41200784,"antithetica"
"1229",-115.6858641,35.548409,"antithetica"
"1311",-115.6517227,35.57923566,"antithetica"
"1261",-115.6826872,35.62250217,"antithetica"
"1265",-115.6998664,35.7050833,"antithetica"
"1965",-115.6875063,35.8916053,"antithetica"
"2019",-115.6529299,35.93390606,"antithetica"
"1979",-115.6917946,35.97301543,"antithetica"
"1998",-115.6992675,36.04476321,"antithetica"
"2536",-115.661446,36.09671871,"antithetica"
"2534",-115.6692333,36.10454021,"antithetica"
"2576",-115.6583254,36.38917396,"antithetica"
"2551",-115.6910431,36.44757886,"antithetica"
"2562",-115.6878496,36.45723337,"antithetica"
"2571",-115.6909452,36.50078865,"antithetica"
"1202",-115.628915,35.19980127,"antithetica"
"1212",-115.6126166,35.20740564,"antithetica"
"1241",-115.6080138,35.28840823,"antithetica"
"1284",-115.6082111,35.38020297,"antithetica"
"1242",-115.6368191,35.40660347,"antithetica"
"1738",-115.6038422,35.5815034,"antithetica"
"2016",-115.6437488,35.89894487,"antithetica"
"2031",-115.6419843,35.93573923,"antithetica"
"2056",-115.6292668,35.97436449,"antithetica"
"2071",-115.6197201,36.00333181,"antithetica"
"2077",-115.6380937,36.0732509,"antithetica"
"2608",-115.6018561,36.37119994,"antithetica"
"2600",-115.6391419,36.44709572,"antithetica"
"3235",-115.6231331,36.49535995,"antithetica"
"3237",-115.635581,36.52065612,"antithetica"
"43",-115.6147901,36.56238851,"antithetica"
"1226",-115.5911191,35.18890852,"antithetica"
"1282",-115.5667205,35.22860892,"antithetica"
"1327",-115.5505108,35.26700479,"antithetica"
"1356",-115.5577119,35.33080721,"antithetica"
"1306",-115.5887121,35.36580363,"antithetica"
"1337",-115.5879088,35.40810612,"antithetica"
"1755",-115.5633861,35.55415221,"antithetica"
"1760",-115.566377,35.61661217,"antithetica"
"2080",-115.5524966,35.76821957,"antithetica"
"2096",-115.5520689,35.83215698,"antithetica"
"2116",-115.5822686,35.99133687,"antithetica"
"2131",-115.5790805,36.00099142,"antithetica"
"2190",-115.5599347,36.05891552,"antithetica"
"3246",-115.5734251,36.39415856,"antithetica"
"3247",-115.581234,36.40198426,"antithetica"
"3255",-115.5932559,36.49119446,"antithetica"
"3281",-115.5569581,36.50632311,"antithetica"
"42",-115.5983479,36.55290414,"antithetica"
"1351",-115.5188683,35.16319776,"antithetica"
"1741",-115.5061096,35.24180576,"antithetica"
"1735",-115.5173166,35.25160881,"antithetica"
"1753",-115.530307,35.4321042,"antithetica"
"1765",-115.5086116,35.45210559,"antithetica"
"2123",-115.5165359,35.78334352,"antithetica"
"2153",-115.511523,35.82979322,"antithetica"
"2156",-115.5128873,35.85693386,"antithetica"
"2159",-115.543451,35.95219231,"antithetica"
"2209",-115.5366255,36.03542722,"antithetica"
"2232",-115.5380025,36.0625634,"antithetica"
"3256",-115.5101061,36.24048627,"antithetica"
"2651",-115.5196785,36.27382197,"antithetica"
"3264",-115.5435907,36.38998043,"antithetica"
"3299",-115.5197258,36.43040453,"antithetica"
"39",-115.5056033,36.49931243,"antithetica"
"3302",-115.5394969,36.52744718,"antithetica"
"4079",-115.5139453,37.37755543,"synthetica"
"4110",-115.5074453,37.48030544,"synthetica"
"1756",-115.4500044,35.16330982,"antithetica"
"1749",-115.48641,35.24270598,"antithetica"
"1767",-115.4565099,35.25990941,"antithetica"
"1762",-115.4692099,35.30350959,"antithetica"
"1775",-115.4558176,35.36520606,"antithetica"
"1768",-115.4967096,35.42970704,"antithetica"
"2218",-115.4514778,35.73031446,"antithetica"
"2239",-115.4509654,35.79425339,"antithetica"
"2243",-115.464588,35.846721,"antithetica"
"2244",-115.4723294,35.85455678,"antithetica"
"2269",-115.4640858,35.91065417,"antithetica"
"2678",-115.4502528,36.07711447,"antithetica"
"3261",-115.4991128,36.24230591,"antithetica"
"3282",-115.4849081,36.25377485,"antithetica"
"3333",-115.4646163,36.43949585,"antithetica"
"3336",-115.4659748,36.4666256,"antithetica"
"4225",-115.4509287,37.43673877,"contact"
"4163",-115.475512,37.45317211,"contact"
"1766",-115.4263283,35.17097469,"antithetica"
"1776",-115.4189064,35.27570649,"antithetica"
"1774",-115.4418134,35.32301256,"antithetica"
"2271",-115.4000676,35.7297274,"antithetica"
"2294",-115.4104428,35.79185508,"antithetica"
"2281",-115.4272383,35.83467589,"antithetica"
"2641",-115.4267047,35.89860949,"antithetica"
"2321",-115.42804,35.92574966,"antithetica"
"2658",-115.4293762,35.95288925,"antithetica"
"2706",-115.4069173,36.02044105,"antithetica"
"2731",-115.417338,36.08255443,"antithetica"
"2790",-115.4044811,36.12115147,"antithetica"
"3312",-115.4409213,36.26103796,"antithetica"
"3347",-115.4028138,36.31290363,"antithetica"
"3331",-115.4476649,36.39669842,"antithetica"
"3370",-115.4205191,36.44675062,"antithetica"
"3371",-115.4250901,36.46423346,"antithetica"
"3391",-115.4102803,36.53959769,"antithetica"
"4224",-115.4419619,37.43052211,"contact"
"4252",-115.4437287,37.61445546,"antithetica"
"2323",-115.3614772,35.69051559,"antithetica"
"2326",-115.3750195,35.74299777,"antithetica"
"2329",-115.3840581,35.77798379,"antithetica"
"2358",-115.3712359,35.81658602,"antithetica"
"2669",-115.3925429,35.87690267,"antithetica"
"2749",-115.3578089,35.91911796,"antithetica"
"2812",-115.3572163,35.98304714,"antithetica"
"2758",-115.3804537,36.00657138,"antithetica"
"2850",-115.3793043,36.13441885,"antithetica"
"3345",-115.3982571,36.29541829,"antithetica"
"3355",-115.3918073,36.31471331,"antithetica"
"3385",-115.3614223,36.37440166,"antithetica"
"3382",-115.3861107,36.42505016,"antithetica"
"3425",-115.3589138,36.47508754,"antithetica"
"3445",-115.3569966,36.51186322,"antithetica"
"3416",-115.3849644,36.55286275,"antithetica"
"3478",-115.3590434,36.63002448,"antithetica"
"4246",-115.3905452,37.41602211,"antithetica"
"4254",-115.3607286,37.46085545,"antithetica"
"1777",-115.3040167,35.14210468,"antithetica"
"1778",-115.3179095,35.17210491,"antithetica"
"1785",-115.30379,35.20111924,"antithetica"
"2739",-115.3294054,35.78701696,"antithetica"
"2827",-115.3101233,35.84491006,"antithetica"
"2830",-115.3114159,35.87205263,"antithetica"
"2806",-115.3391233,35.91308044,"antithetica"
"2896",-115.3165958,35.98061717,"antithetica"
"2873",-115.341126,36.03128839,"antithetica"
"3404",-115.3289915,36.31590447,"antithetica"
"3440",-115.3160497,36.35448593,"antithetica"
"3480",-115.3011524,36.42984166,"antithetica"
"3455",-115.3414043,36.49618312,"antithetica"
"3456",-115.3381639,36.50582797,"antithetica"
"3585",-115.3011629,36.58478271,"antithetica"
"3523",-115.3245688,36.60830868,"antithetica"
"3531",-115.3395677,36.68788993,"antithetica"
"4087",-115.3109366,36.71078197,"antithetica"
"4204",-115.3002452,36.82935538,"antithetica"
"1783",-115.2834076,35.12780376,"antithetica"
"1787",-115.2607725,35.15544803,"antithetica"
"1788",-115.2818095,35.2137018,"antithetica"
"1794",-115.2665193,35.27350123,"antithetica"
"1828",-115.2593859,35.62529778,"antithetica"
"1845",-115.2542266,35.67174239,"antithetica"
"2821",-115.2966076,35.79242475,"antithetica"
"2903",-115.272799,35.83281642,"antithetica"
"2910",-115.2830841,35.89495014,"antithetica"
"2888",-115.2985409,35.91064419,"antithetica"
"2949",-115.2746962,35.95103257,"antithetica"
"2951",-115.288225,36.00351405,"antithetica"
"3451",-115.2959639,36.32131007,"antithetica"
"3512",-115.2713191,36.42559582,"antithetica"
"3515",-115.2836373,36.45092938,"antithetica"
"3582",-115.2829774,36.51483536,"antithetica"
"3615",-115.2979136,36.59442598,"antithetica"
"3682",-115.2705967,36.64443839,"antithetica"
"3706",-115.2764389,36.68905333,"antithetica"
"4189",-115.2790299,36.74330889,"antithetica"
"4194",-115.2848849,36.78792108,"antithetica"
"4240",-115.2653109,36.84576972,"antithetica"
"4260",-115.2881952,37.51372213,"antithetica"
"1790",-115.2487491,35.12791184,"antithetica"
